Company,Description,Source,Link,Month,Year,Ticker
Airbnb,"According to the BDS National Committee, ""Airbnb(US), Booking.com (Netherlands) and Expedia (US) all offer rentals in illegal Israeli settlements built on stolen Palestinian land.""Airbnb had previously committed to removing rentals from settlements, but due to pressure including a number of lawsuits itreversedits decision.The Guardian found321 Airbnbs on Israeli settlements in the West Bank, as of August 2024, a third of all Airbnbs in the West Bank. 18 of these were in outposts, which are built by settlers to expand onto more Palestinian land. Two in five of Airbnb properties in settlements listed their location as ‚ÄúIsrael‚Äù, showing that the settlers renting them out claim that this stolen land is now Israeli.View our list of ethical alternative brands to Airbnb.",Ethical Consumer,https://www.ethicalconsumer.org/ethicalcampaigns/boycotts,April,2025,ABNB
Amazon,"Anarticlepublished on 5 January 2024 on the BDS National Committee website listed Amazon as a 'pressure target', calling for boycotts of the company if people were able to find viable alternatives.It stated ""In May 2021, as the Israeli military bombedhomes,clinics, andschoolsin Gaza andthreatenedto push Palestinian families from their homes in occupied Jerusalem, Amazon Web Services and Google Cloud signed a $1.22 billion contract to provide cloud technology to the Israeli government and military. By supporting Israeli apartheid with vital technologies, Amazon and Google are directly implicated in its entire system of oppression, including its unfolding genocide in Gaza.""Read more about the#NoTechForApartheid campaign, a project run by MPOWER CHANGE (a Muslim grassroots movement) and Jewish Voice for Peace.View our list of ethical alternative brands to Amazon.",Ethical Consumer,https://www.ethicalconsumer.org/ethicalcampaigns/boycotts,April,2025,AMZN
Amazon,"Ethical Consumer has called for a boycott of Amazon over its outrageous tax avoidancesince 2012. We also support boycott calls of the company based on its treatment of workers and the environment.We estimate that Amazon's tax avoidance could havecost the UK economy around ¬£433m in 2023.Read moreabout our call to boycott Amazon on our website.If you want to join the boycott of Amazon, you can:Use our ethical shopping guides to findalternatives to AmazonSign ourpledge to boycott Amazon",Ethical Consumer,https://www.ethicalconsumer.org/ethicalcampaigns/boycotts,April,2025,CS.PA
AXA,"The BDS National Committee is calling for a boycott of AXA until it ""fully divestsfrom companies involved in Israel's ongoing genocide"".On 21 August 2024 the AXA boycott organisers (the Stop AXA Assistance to Israeli Apartheid coalition, which commissioned a report into thelinks between AXA and Israeli banksin 2021) shared the news that AXA had sold its investments in all major Israeli banks and Elbit Systems, Israel‚Äôs largest military company.While a major milestone for the campaign, it continues tocall for a boycott of the companyuntil it fullydivests from other complicit companies. Boycott Bloody Insurance found thatAXA still had $176,738,585 invested in other arms companiesthat supplied Israel, like BAE Systems and Caterpillar, in February 2025.According to the BDS movement, over 10,000 people and 230 organisations have signed the pledge to boycott AXA.View our list of ethical alternative brands to Axa.",Ethical Consumer,https://www.ethicalconsumer.org/ethicalcampaigns/boycotts,April,2025,BARC.L
Barclays Bank,"Palestine Solidarity Campaign (PSC) is calling for a boycott of Barclays bank.In June 2024 PSC, Campaign Against Arms Trade, and War on Want published a jointreportdocumenting Barclays' ""Bankrolling [of] genocide and apartheid"". Itclaimsthat the bank holds over ¬£2bn in shares, and provides ¬£6.1bn in loans and underwriting, to ""9 companies whose weapons, components, and military technology are being used by Israel in its attacks on Palestinians.""In October 2024 the direct action campaign group Palestine Action claimed thatBarclays no longer held shares in Israeli weapons manufacturer Elbit Systems. Palestine Action and PSC say this shows their efforts are having an impact.PSC however says it is continuing with its boycott campaign against Barclays, which is likely to still hold shares in other complicit companies. PSC Campaigns Officer Lewis Backon told Ethical Consumer, ‚ÄúThis could indicate the start of a permanent divestment and that shows the power of our movement, but we can‚Äôt let Barclays off the hook. We must keep up the pressure and not allow the campaign to be derailed. We are therefore calling for continuing boycotts, protests and pickets calling for Barclays to permanently divest from all companies arming Israel's genocide.‚ÄùPSC regularly calls for mass account closure daysof Barclays and Tesco Bank accounts. The next one is on 24 July 2025Barclayssays""We have been asked why we invest in nine defence companies supplying Israel, but this mistakes what we do. We trade in shares of listed companies in response to client instruction or demand and that may result in us holding shares.""View our list of ethical alternative brands to Barclays.",Ethical Consumer,https://www.ethicalconsumer.org/ethicalcampaigns/boycotts,April,2025,N/A (private/KFC/Restaurant Brands)
Booking.com,"The BDS National Committee is calling for a boycott ofBooking.com, as it offers rentals in illegal Israeli settlements built on Palestinian land.The campaign groupsays""we call on Booking.com to abide by its moral and legal duty to stop facilitating all rentals in illegal Israeli settlements. By continuing to rent property built on stolen Palestinian land, including in occupied East Jerusalem, Booking.com is profiting from apartheid Israel‚Äôs war crimes and supporting its relentless ethnic cleansing of Indigenous Palestinians.""In May 2024, a group of Dutch NGOs filed alegalcomplaint against Booking.com because of these links to settlements.Read more about the case on the Somo website.Somo says ""the number of listings in illegal settlements has risen sharplysince the original complaint, particularly in East Jerusalem, where the number has risen from 13 to 39 within a year, from 9 November 2023 to 9 November 2024.""Booking.com has responded to allegations on, for example, theABC Newswebsite andBusiness & Human Rights Resource Centreto say that it is up to travellers to decide where they want to go, and it allows all accommodation providers to feature on its site providing they comply with ""applicable local laws"". Booking.com alsosaysthat legal action was taken against other companies that tried to withdraw their activities and that it would expect the same to happen if it tried to withdraw.View our list of ethical alternative brands to Booking.com.",Ethical Consumer,https://www.ethicalconsumer.org/ethicalcampaigns/boycotts,April,2025,N/A
Burger King,"The BDS National Committee says McDonald‚Äôs, Burger King, Papa John‚Äôs, Pizza Hut and Domino's Pizza ‚Äúare targeted in some countries bygrassroots organic boycott campaigns, not initiated by the BDS movement. BDS supports these boycott campaigns because these companies, or their branches or franchisees in Israel, have openly supported apartheid Israel and/or provided generous in-kind donations to the Israeli military amid the current genocide‚Äù.Burger King Israel gave free food to Israeli soldiers in October 2023, according toNewsweek. Newsweek claims that Burger King posted on Instagram saying: ""We went out to strengthen the nation Israel [...] Our teams are working diligently to continue donating thousands of meals to our heroes.""Ethical Consumer viewed the Burger King Israel Instagram page and could not see the mentioned post. As Burger King did not appear to have publicly denied that free food had been distributed, it could be presumed that the post was removed.View our list of ethical alternative brands to Burger King.",Ethical Consumer,https://www.ethicalconsumer.org/ethicalcampaigns/boycotts,April,2025,N/A
Chevron,"In October 2022 the BDS National Committee (BNC) called for a boycott of Chevron. Itsaysthat the US fossil fuel multinational was the main international corporation extracting gas claimed by Israel in the Eastern Mediterranean since, and that it was therefore implicated in Israel‚Äôs practice of ""depriving the Palestinian people of their right to sovereignty over their natural resources‚Äù.In January 2025, a fact sheet by theAction Center for Corporate Accountabilityfor theBoycott Chevron campaignsaid that Chevron is ‚Äúthelargest producer of natural gas for Israeland the largest multinational corporation with a significant stake in Israel's energy sector‚Äù. In 2023, Israel collected over $820 million in royalties and fees from Chevron extraction projects, on top of regular corporate taxes. Israel also tightened its blockade of Gaza to protect Chevron‚Äôs operations off the coast of Gaza.Chevrondoes notappear to have commented publicly on its ties to Israel.View our list of ethical alternative brands to Chevron / Texaco.",Ethical Consumer,https://www.ethicalconsumer.org/ethicalcampaigns/boycotts,April,2025,DPZ
Coca-Cola,"Friends of Al Aqsa,BDS National CommitteeandPalestine Solidarity Campaignare calling for a boycott of The Coca-Cola Company.The #BoycotCocaCola campaign by Friends of Al Aqsa (FOA) calls for a boycott of Coca-Cola because itprofits from the Israeli occupation of Palestine. It states ‚ÄúCoca-Cola has afactory in Atarot, anillegal Israeli settlementbuilt on stolen Palestinian land.""In December 2024, the BDS National Committeeadded Coca-Cola to its priority boycott list. And in March 2025, Palestine Solidarity Campaign made Coca-Cola and its brands Schweppes, Sprite, Fanta, Innocent, Appletiser, Smart Water and Costa Coffee one of two strategic boycott targets for its newDon‚Äôt Buy Apartheid campaign.In a guest post on our website, campaigns officer Lewis Backon explained that Coca-Cola's exclusive franchisee in Israel, The Central Bottling Company,owns a regional distribution centre and cooling housein the illegal industrialAtarot Settlement Zone, which is part of Israel‚Äôs project to ‚Äúalter the demographic balance of [Jerusalem] by ethnically cleansing Palestinians, fragmenting and isolating their remaining communities, while expanding its colonial settlements‚Äù.Leaflets and other Boycott Coca-Cola campaign materials are available for download on the websites ofFriends of Al-AqsaandPalestine Solidarity Campaign.",Ethical Consumer,https://www.ethicalconsumer.org/ethicalcampaigns/boycotts,April,2025,N/A (private)
Coconut milk from Thailand,"Peta is urging consumers to boycott canned coconut milk from Thailand. Investigations by PETA Asiadocumentedthe ""rampant use and abuse of monkeys"" in the Thai coconut industry, revealing that ""terrified young monkeys are kept chained, abusively trained, and forced to climb trees to pick coconuts used to make canned coconut milk.""While Thai government and industry insiders claim that monkeys are no longer used to make goods for export, PETA Asia‚Äôs investigation confirms that abuse of primates is still going unchecked.In May 2024, they [exposed exploitative ‚Äúschools‚Äù] in whichbaby monkeys are imprisoned and forcibly trained to pick coconuts. As many as 50 baby monkeys at a single school are isolated and confined by the Thai coconut industry, so that they can be forced to harvest coconuts for the rest of their lives.Peta told Ethical Consumer in an email in November 2023 that, ""Since the Thai coconut industry continues to lie, the best thing consumers can do to help the monkeys it abuses is to avoid canned coconut milk from Thailand.""",Ethical Consumer,https://www.ethicalconsumer.org/ethicalcampaigns/boycotts,April,2025,ETOR.L
Crufts,"PETA are calling for a boycott of dog show Crufts over cruelty involved in breeding. Itstates, ""The BBC stopped airing Crufts in 2008 after revelations emerged about the prevalence of hereditary defects among pedigree dogs, including some Crufts prize winners, and the RSPCA refuses to attend the show.""Peta is calling on Channel 4 to stop airing Crufts.""Crufts also exacerbates the homeless dog and companion animal overpopulation crises by encouraging people to dash out to buy the latest ‚Äúmust-have‚Äù breed they saw on television while rescue centres burst at the seams with lovable dogs waiting to be adopted.""In March 2025, Peta crashed the Crufts event holding a sign reading ‚Äúüñ§ Dogs? Boycott Breeders.‚ÄùVideo of the protestshowed that they were violently removed. According to Peta, one of the protestors was thrown to the ground in his wheelchair, and the other was ‚Äúrepeatedly punched before being dragged off the premises‚Äù.",Ethical Consumer,https://www.ethicalconsumer.org/ethicalcampaigns/boycotts,April,2025,N/A (private)
Dell,"Dell is a consumer boycott priority target of the BDS National Committee and itsNo Tech for Oppression, Apartheid or Genocide campaign, because it ‚Äúsupplies the servers, maintains services and related equipment to the Israeli military as a part of a$150 million 2023 contractfunded by US foreign aid‚Äù.One of its subsidiaries conductsresearch and development activities in Israel‚Äôs National Cyber Park, which attempts to strengthen development in the Naqab while ‚ÄúPalestinian Bedouin communities in the region face forced displacement and de-development by Israeli authorities‚Äù.",Ethical Consumer,https://www.ethicalconsumer.org/ethicalcampaigns/boycotts,April,2025,GRPN
Disney,"The BDS National Committee, Jewish Voice for Peace, and Movement for Black Lives are calling for aboycott of Disney and its Marvel brand.The BDS movement said thatDisney is ‚Äúcomplicit in glorifying Israel‚Äôs regime of genocide and apartheidagainst Indigenous Palestinians‚Äù. For Marvel‚Äôs Captain America: Brave New World and Disney‚Äôs Snow White it cast actors Shira Haas and Gal Gadot who have ‚Äúconsciously and irrefutably taken up roles as cultural ambassadors for Israel, directly representing genocidal Israel‚Äôs propaganda efforts‚Äù.For Captain America,Marvel revived the superhero character of ‚ÄúSabra‚Äù, AKA Ruth Bat-Seraph, who, BDS said, ‚Äúpersonifies‚Äù apartheid Israel because of her work for Israel‚Äôs government and occupation forces.Protestors held up signssaying ‚ÄúDisney Supports Genocide,‚Äù ‚ÄúBoycott Captain America,‚Äù and ‚ÄúSabra Has Got To Go‚Äù during the film‚Äôs premiere in February 2025.The organisations alsocriticise Disney's decision to cast Marvel actor Gal Gadot in Snow White, due to her vocal support for the Israeli military and Israel‚Äôs invasion of Gaza. In March 2025, Disney scaled back the world premiere of Snow White and limited interviews to ‚Äúin-house, talent-friendly‚Äù press, after Gadot‚Äôs co-star Rachel Zegler made pro-Palestine comments on social media and protestors disrupted Gadot‚Äôs Hollywood Walk of Fame ceremony.View our list of ethical alternative brands to Disney.",Ethical Consumer,https://www.ethicalconsumer.org/ethicalcampaigns/boycotts,April,2025,HPE
Domino's Pizza,"The BDS National Committee saysDomino's Pizza is ‚Äútargetedin some countries by grassroots organic boycott campaigns, not initiated by the BDS movement. BDS supports these boycott campaigns because these companies, or their branches or franchisees in Israel, have openly supported apartheid Israel and/or provided generous in-kind donations to the Israeli military amid the current genocide‚Äù.View our list ofethical alternative brands to Domino's.",Ethical Consumer,https://www.ethicalconsumer.org/ethicalcampaigns/boycotts,April,2025,N/A
Ecover,"Naturewatch Foundation launched aboycottcall against Ecover in April 2018 following its purchase by SC Johnson, a US company that tests on animals and¬†owns other household cleaning brands such as Mr Muscle, Duck and Pledge.In September 2024 campaign manager for animal experiments at Naturewatch, Natalie Harney, said in an email to Ethical Consumer:While Ecover and method promote strong values, both brands are owned by SC Johnson, a corporate giant that still conducts animal testing when required by law. For us, the ethical standards of a parent company are just as important as those of the brands it owns. This is why we do not endorse Ecover or method in our cruelty-free Compassionate Shopping Guide, and why we urge ethical consumers to exclude these products, along with other SC Johnson brands, from their baskets.Naturewatch Foundation is asking compassionate consumers to boycott all SC Johnson brands, including Ecover and Method, until the entire company is cruelty-free.Read more about the Ecover & Method boycott.",Ethical Consumer,https://www.ethicalconsumer.org/ethicalcampaigns/boycotts,April,2025,N/A
eToro,"The organisationTech for Palestineis calling for a boycott of investment platform eToro, as part of its project 'Israeli Tech Alternatives'.An article onThe Hinduwebsite states ""A group of more than 40 technologists have banded together and created the ‚ÄòTech for Palestine‚Äô initiative to show their support to Palestine and boycott tech products linked to Israel."" The campaign group says ""Our short-term goal is to normalize and enable tech folks to speak up for the people of Palestine. Our main goal is to shift the Overton Window, and make it easier to speak up for Palestinian humanity and freedom"".In2021, the group Qatar Youth Opposed to Normalisation (QAYON) also called for a boycott of eToro, accusing it of complicity in the occupation of Palestine.eToro was originally founded in Israel, and appears to have offices and staff based in Tel Aviv. While eToro is not an official BDS National Committee target, it appears to trade stocks in official BDS targets such asHewlett PackardandChevron(when checked in May 2025).",Ethical Consumer,https://www.ethicalconsumer.org/ethicalcampaigns/boycotts,April,2025,K
Expedia,"The BDS National Committee is calling for aboycott of travel booking company Expedia, stating that Expedia (US) offers rentals in illegal Israeli settlements built on stolen Palestinian land.It is¬†listed in theUN database of businesses implicated in Israel‚Äôs illegal colonial settlements. Other travel booking companies such as Airbnb and Booking.com are also boycotted for this reason.View our list of ethical alternative brands to Expedia.",Ethical Consumer,https://www.ethicalconsumer.org/ethicalcampaigns/boycotts,April,2025,OR.PA
Get Your Guide,"World Animal Protection is calling for a boycott of travel company Get Your Guide.The campaign groupsays""Many of the world‚Äôs leading travel companies are exploiting animals for profit by continuing to sell tickets to captive wildlife attractions, such as dolphin shows or elephant encounters. By offering tickets, booking sites are maintaining public demand for captive wildlife experiences and misleading travelers to believe these activities are acceptable or even beneficial for animals, when in fact they are cruel and cause lifelong harm.""It is running apledgethat people can sign to show they are boycotting GetYourGuide, Groupon, TUI/Musement, and Trip.com.World Animal Protectionsaysthat these brands ""have refused to stop selling captive wildlife entertainment. Until they decide to implement a robust animal welfare policy and stop selling animal cruelty, we will not support their business.""In August 2024 it published areportcalled 'Making misery' revealing GetYourGuide‚Äôs ""ties to venues that abuse animals"".",Ethical Consumer,https://www.ethicalconsumer.org/ethicalcampaigns/boycotts,April,2025,N/A
Google,"The BDS National CommitteelistsGoogle as a 'pressure target', calling for people to boycott the company if they are able to find viable alternatives.The campaign group says ""In May 2021, as the Israeli military bombedhomes,clinics, andschoolsin Gaza andthreatenedto push Palestinian families from their homes in occupied Jerusalem, Amazon Web Services and Google Cloud signed a $1.22 billion contract to provide cloud technology to the Israeli government and military. By supporting Israeli apartheid with vital technologies, Amazon and Google are directly implicated in its entire system of oppression, including its unfolding genocide in Gaza.""Read more about the#NoTechForApartheid campaign, which is a project run by MPOWER CHANGE (a Muslim grassroots movement) and Jewish Voice for Peace.View our list of ethical alternative brands to Google.",Ethical Consumer,https://www.ethicalconsumer.org/ethicalcampaigns/boycotts,April,2025,MCD
Groupon,"World Animal Protection is calling for a boycott of travel company Groupon.The campaign groupsays""Many of the world‚Äôs leading travel companies are exploiting animals for profit by continuing to sell tickets to captive wildlife attractions, such as dolphin shows or elephant encounters. By offering tickets, booking sites are maintaining public demand for captive wildlife experiences and misleading travelers to believe these activities are acceptable or even beneficial for animals, when in fact they are cruel and cause lifelong harm.""It is running apledgethat people can sign to show they are boycotting GetYourGuide, Groupon, TUI/Musement, and Trip.com.World Animal Protectionsaysthat these brands ""have refused to stop selling captive wildlife entertainment. Until they decide to implement a robust animal welfare policy and stop selling animal cruelty, we will not support their business.""",Ethical Consumer,https://www.ethicalconsumer.org/ethicalcampaigns/boycotts,April,2025,N/A
Hewlett-Packard Enterprise (HPE),"The Palestinian human rights movement Boycott, Divestment and Sanctions (BDS) is calling for a boycott of HP-branded corporations.According to the campaigngroup""HP Enterprise (HPE) continues to provide servers, data storage and data security services for Israel's prisons, where Palestinian political prisoners and child prisoners are held hostage in inhumane conditions and are often tortured. In April 2024, for instance, in the midst of Israel‚Äôs ongoing genocide in Gaza, Hewlett Packard Israel was contracted by the Israel Prison Service (IPS) to be the sole supplier providing HPE equipment maintenance for approx. $97,650 for one year.""HPE alsoprovides and maintains the servers of Israel‚Äôs ID card system, which ‚Äúforms a core part of the Israeli apartheid regime‚Äôs tiered system of citizenship and residency that privileges Israel‚Äôs Jewish population and gives inferior status and rights to Palestinians, especially those in East Jerusalem‚Äù. And HP Inc. provides computer hardware to the Israeli army and it maintains data centers for Israel‚Äôs police.In July 2024 the BDS movementsaidit was calling for an ""Escalation of all BDS campaigns against Israel, and in particular the #BoycottHP"".View our list of ethical alternative brands to HP.",Ethical Consumer,https://www.ethicalconsumer.org/ethicalcampaigns/boycotts,April,2025,MSFT
Intel,"BNC launched its#BoycottIntel campaignin March 2024, after the company planned to invest ¬£25bn in expanding its chip-making operations in Israel. Intel‚Äôs operationsaccount for 5.5% of Israel‚Äôs high-tech exports, worth $8.7bn and 1.75% of the country‚Äôs GDP. Its main factory in Israel isbuilt on the ruins of an ethnically cleansed Palestinian village.In June 2024, the BNC announced the movement‚Äôs ‚Äòbiggest victory yet‚Äô, whenIntel halted construction of the new factory. The BNC claimed this was partly due to the company‚Äôs loss of confidence in the Israeli economy. The #BoycottIntel campaign continues, because the tech giantremains a major investor in Israel.",Ethical Consumer,https://www.ethicalconsumer.org/ethicalcampaigns/boycotts,April,2025,MTO.L
Israeli dates,"American Muslims for Palestine have a long-running boycott call againstexportedIsraeli dates, includingbrands such as Mehadrin, MTex, Edom, Carmel Agrexco and Arava.The campaign group claims ""Dates are considered the ‚Äúblack gold‚Äù of Palestine... With the holy month of Ramadan knocking on the doors, this ‚Äúblack gold‚Äù is especiallysacred due to the Muslim ritual of breaking fasts with them. But the Israeli colonial enterprise has produced its own industry of dates in a manner that is much more sinister.""Israeli date farms profit off of theft and abuse. They are predominantly grown in illegal Israeli settlements and are grown using stolen natural resources like water. Palestinian laborers, who are often forced by economic necessity to work in these illegal settlements, are forced to work in grueling physical conditions.""",Ethical Consumer,https://www.ethicalconsumer.org/ethicalcampaigns/boycotts,April,2025,MDLZ
Israeli produce in supermarkets,"TheBDS movementis led by Palestinian civil society, and based on the 2005 call for ‚ÄúBoycott, Divestment and Sanctions against Israel Until it Complies with International Law and Universal Principles of Human Rights‚Äù, which was endorsed by more than¬†170¬†Palestinian¬†civil society networks and¬†groups.BDS describes itself as¬†""a Palestinian-led movement for freedom, justice and equality. BDS upholds the simple principle that Palestinians are entitled to the same rights as the rest of humanity.""Israel is occupying and colonising Palestinian land, discriminating against Palestinian citizens of Israel and denying Palestinian refugees the right to return to their homes. Inspired by the South African anti-apartheid movement, the BDS call urges action to pressure Israel to comply with international law.The campaign has successfully persuaded governments, churches and banks to divest from companies involved in Israeli occupation, or which are operating in Israeli settlements in Palestine.The BDS National Committee says ""Boycott produce from Israel in your supermarketand demand their removal from shelves. Beyond being part of a trade that fuels Israel‚Äôs apartheid economy, Israeli fruits, vegetables, and wines misleadingly labeled as ‚ÄúProduct of Israel‚Äù often include products of illegal settlements on stolen Palestinian land. Israeli companies do not distinguish between the two, and neither should consumers.""",Ethical Consumer,https://www.ethicalconsumer.org/ethicalcampaigns/boycotts,April,2025,NESN.SW
JCB,"The BDS National Committeesays""Machinery from HD Hyundai (South Korea), Volvo (Sweden/China), CAT (US), and JCB (UK) has been used by Israel in the ethnic cleansing and forced displacement of Palestinians through the destruction of their homes, farms, and businesses, as well as the construction of illegal settlements on land stolen from them, a war crime under international law.""It is targeting JCB through a divestment campaign calling for governments, institutions, investment funds, city councils, and so on to divest and exclude it from procurement contracts and investments.",Ethical Consumer,https://www.ethicalconsumer.org/ethicalcampaigns/boycotts,April,2025,PZZA
Kellogg's,"GMO-Free USA (also known as Toxin-Free USA) calls for a boycott of Kellogg's, accusing it of greenwashing and ""healthwashing"".The campaign group provides a list of examples showing how, from its view,Kellogg's is misleading consumers. For example, ""No person on Earth should be even remotely convinced that Kellogg‚Äôs Froot Loops cereal is healthy. Yet, some people would be led to believe that this ultra-processed junk food has some redeeming characteristics by what‚Äôs printed on the box."" It says that listing 'fibre' and 'wholegrain' prominently on the box, when in fact the product is ""primarily made of sugar"".It also claims that Kellogg's backtracked on its 2020 commitment tophase out herbicide glyphosatein its wheat and oat supply chains by 2025, claiming that the company ""did absolutely nothing since 2020 and as of the writing of this article, hasbacktracked on its commitment.""",Ethical Consumer,https://www.ethicalconsumer.org/ethicalcampaigns/boycotts,April,2025,N/A (private / Yum! Brands)
